Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
0,2007-10-05,32.54541778564453,35.42468502551059,26.900113742286507,29.051476675652747,855215656
1,2007-10-08,30.87933349609375,33.64537091874948,30.685224759991605,33.64537091874948,126671715
2,2007-10-09,32.9821662902832,33.27332717981798,29.229413747593593,30.89550520408466,116725709
3,2007-10-10,33.28949737548828,33.96887558934333,32.9983365375293,33.83946906605695,67931378
4,2007-10-11,37.00989532470703,38.82156901337671,32.99833497774798,38.82156901337671,106320954
5,2007-10-12,36.767276763916016,38.142207627787506,35.909967808734656,36.23348095317501,99410791
6,2007-10-15,37.25253677368164,37.7539846496586,36.929023713539095,37.52752375238814,41814972
7,2007-10-16,41.0538330078125,41.70086379620668,37.042270202511624,37.30107900752642,138614496
8,2007-10-17,44.2566032409668,45.291842522417625,34.324747177407374,36.88050196948446,204876259
9,2007-10-18,42.703739166259766,48.349044673798645,40.87589097789229,44.9683309293873,146617799
10,2007-10-19,42.55815887451172,44.28895480297188,40.439145478534954,41.733197853020734,110266491
11,2007-10-22,41.99200439453125,43.30223046365177,40.60089567672555,41.70084353338519,72253405
12,2007-10-23,44.9845085144043,45.38889989435569,43.02725160268316,43.02725160268316,74594921
13,2007-10-24,44.28895568847656,46.42414302665404,43.78750775058117,45.93886898859224,63055170
14,2007-10-25,44.191898345947266,45.2271420031388,39.0318627353921,42.78461550780248,34522489
15,2007-10-26,45.5182991027832,46.24620350425056,43.755151130724876,44.968325133170474,62370025
16,2007-10-29,46.44032287597656,47.5564449694438,46.035931449057685,46.26239240330338,43657697
17,2007-10-30,47.475563049316406,48.75343722778894,45.680062618503946,47.07117165335785,79921711
18,2007-10-31,48.46227264404297,49.52986848158515,47.556437740607606,47.71819428678729,44655368
19,2007-11-01,47.378501892089844,50.03131094777779,46.99028882233137,49.65927177711994,50632492
20,2007-11-02,48.235816955566406,48.52698228060946,45.291846618226735,45.66389022513117,32001693
21,2007-11-05,49.2225227355957,50.30629232830092,47.91229225321719,48.203457507919005,38833135
22,2007-11-06,49.86954879760742,53.023801025867414,49.19017051701227,50.07983140190611,81880281
23,2007-11-07,49.141666412353516,51.50331097134222,48.0417224312893,50.791584577914094,33593141
24,2007-11-08,48.300514221191406,49.61074482709531,47.23292281305665,47.87994897263577,27990521
25,2007-11-12,49.465152740478516,50.33863964428579,45.56681824065849,46.84469641698281,35153735
26,2007-11-13,50.6459846496582,51.665049985482575,48.704906147925286,50.306297667025746,43830531
27,2007-11-14,49.982791900634766,52.24738381751477,49.72397876309187,51.53565317418142,36738579
28,2007-11-15,50.82392120361328,51.71358221377355,49.86955581936141,50.92097337682353,29242252
29,2007-11-16,50.468055725097656,51.61652545129008,49.88572952432617,50.59746008484893,18895294
30,2007-11-19,52.29591751098633,54.188470479911324,51.22832577873545,51.61653895958654,40716718
31,2007-11-20,51.48713302612305,53.54144252261235,50.85628059270577,52.08563326512156,26342171
32,2007-11-21,47.475563049316406,52.10179886391124,46.32708885203763,51.79446403573923,26814499
33,2007-11-22,45.84181594848633,48.882842542272904,43.85221129807327,46.974111777428554,34096185
34,2007-11-23,48.88284683227539,49.17400776482764,46.13298090415782,48.85049464245235,27664090
35,2007-11-26,49.27106857299805,50.694525683089935,48.882855390933884,50.694525683089935,20159123
36,2007-11-27,48.05788040161133,50.11218937819072,47.55643687277575,50.11218937819072,20573198
37,2007-11-28,47.34615707397461,49.33576636932726,47.022643938200545,49.10930541911432,16435311
38,2007-11-29,46.068294525146484,48.785804678509756,45.46979419431598,48.526995859305195,25530967
39,2007-11-30,47.84759521484375,48.138756099501684,46.26238205354894,46.90940819186738,18437721
40,2007-12-03,48.5269660949707,49.1254660587073,48.057870461465384,48.42990955635263,16851227
41,2007-12-04,47.89613342285156,49.25489041246924,47.540268079101416,48.85049897364587,14008727
42,2007-12-05,49.80487060546875,49.98280550870961,47.879969584813175,47.977021795359924,27725290
43,2007-12-06,48.88284683227539,51.64888227341315,48.25199448847254,50.88862555824569,24104710
44,2007-12-07,48.67253494262695,49.88570853214854,47.79905259092659,49.190156551741225,11742386
45,2007-12-10,48.7210807800293,49.319576429492244,48.09022855911895,49.1416460020184,8330010
46,2007-12-11,48.49462127685547,49.432808298355596,48.251986475367836,49.15782131241758,11685950
47,2007-12-12,48.46227264404297,48.89901619631353,47.556437740607606,47.87995083296697,16342131
48,2007-12-13,47.65348434448242,49.17399745605907,47.475553919648114,48.526971346950134,14620172
49,2007-12-14,47.18439865112305,47.928481466907826,46.941763808831226,47.49173787319704,10991851
50,2007-12-17,44.33747482299805,47.71818794395025,43.67427043906008,47.45937487170864,19355678
51,2007-12-18,44.143367767333984,45.6153504418094,42.7684372561261,43.83602860377565,21607783
52,2007-12-19,43.33458709716797,45.95504389252686,42.96254793704477,45.56682644583409,19526912
53,2007-12-20,42.8978385925293,44.2565951104765,42.70372989169021,43.90072989025924,17105204
54,2007-12-24,44.208065032958984,44.90361712577661,43.18899554272565,43.54486073074951,16711519
